Namespace,Object,label,container name,image,containerPort
bravo-front-ns,Deployment,frontend,frontend,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-frontend:2.9,80
bravo-front-ns,Service,frontend,,frontend,80
bravo-core-ns,Deployment,auth-service,auth-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-auth-service:2.10,3001
bravo-core-ns,Service,auth-service,,auth-service,3001
bravo-core-ns,Deployment,community-service,community-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-community-service:2.0,3002
bravo-core-ns,Service,community-service,,community-service,3002
bravo-core-ns,Deployment,mountain-service,mountain-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-mountain-service:2.0,3008
bravo-core-ns,Service,mountain-service,,mountain-service,3008
bravo-core-ns,Deployment,notice-service,notice-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-notice-service:2.0,3003
bravo-core-ns,Service,notice-service,,notice-service,3003
bravo-core-ns,Deployment,notification-service,notification-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-notification-service:2.0,3005
bravo-core-ns,Service,notification-service,,notification-service,3005
bravo-core-ns,Deployment,schedule-service,schedule-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-schedule-service:2.0,3004
bravo-core-ns,Service,schedule-service,,schedule-service,3004
bravo-core-ns,Deployment,stamp-service,stamp-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-stamp-service:2.0,3010
bravo-core-ns,Service,stamp-service,,stamp-service,3010
bravo-core-ns,Deployment,store-service,store-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-store-service:2.1,3006
bravo-core-ns,Service,store-service,,store-service,3006
bravo-ai-integration-ns,Deployment,ai-infra-service,ai-infra-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-ai-infra-service:2.6,3011
bravo-ai-integration-ns,Service,ai-infra-service,,ai-infra-service,80
bravo-ai-integration-ns,Deployment,ai-service,ai-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-ai-infra-service:2.8,3009
bravo-ai-integration-ns,Service,ai-service,,ai-service,3009
bravo-ai-integration-ns,Deployment,chatbot-service,chatbot-service,940482451773.dkr.ecr.ap-northeast-2.amazonaws.com/bravo/hiking-chatbot-service:2.0,3007
bravo-ai-integration-ns,Service,chatbot-service,,chatbot-service,3007
bravo-front-ns,ConfigMap,frontend-server-js,,frontend-server-js,
bravo-front-ns,ConfigMap,bravo-config,,bravo-config,
bravo-front-ns,Secret,bravo-secrets,,bravo-secrets,
bravo-core-ns,ConfigMap,bravo-config,,bravo-config,
bravo-core-ns,Secret,bravo-secrets,,bravo-secrets,
bravo-ai-integration-ns,ConfigMap,bravo-config,,bravo-config,
bravo-ai-integration-ns,Secret,bravo-secrets,,bravo-secrets,
